imię 1;liczba;płeć
NIKODEM;3317;M
ANTONI;2930;M
JAN;2848;M
ALEKSANDER;2824;M
FRANCISZEK;2525;M
LEON;2430;M
JAKUB;2366;M
MIKOŁAJ;2056;M
IGNACY;1994;M
STANISŁAW;1975;M
FILIP;1761;M
SZYMON;1701;M
WOJCIECH;1592;M
TYMON;1468;M
ADAM;1449;M
MARCEL;1397;M
KACPER;1391;M
MAKSYMILIAN;1341;M
OLIWIER;1285;M
WIKTOR;1184;M
MICHAŁ;1139;M
MIŁOSZ;947;M
IGOR;928;M
JULIAN;896;M
TYMOTEUSZ;892;M
PIOTR;874;M
GABRIEL;831;M
OSKAR;813;M
DAWID;668;M
BRUNO;578;M
HUBERT;558;M
KRZYSZTOF;546;M
BARTOSZ;539;M
NATAN;527;M
DOMINIK;517;M
KAROL;483;M
ALAN;470;M
MATEUSZ;463;M
HENRYK;440;M
FABIAN;427;M
CEZARY;425;M
TOMASZ;405;M
TADEUSZ;404;M
MACIEJ;391;M
KSAWERY;383;M
MILAN;366;M
ARTUR;350;M
DANIEL;350;M
TEODOR;337;M
LEO;334;M
PAWEŁ;333;M
KAJETAN;297;M
WITOLD;295;M
KAZIMIERZ;294;M
KUBA;287;M
BARTŁOMIEJ;284;M
JÓZEF;279;M
MARK;269;M
BORYS;265;M
KAMIL;247;M
STEFAN;235;M
OLAF;231;M
LEONARD;226;M
KORNEL;212;M
PATRYK;212;M
GUSTAW;207;M
ERYK;207;M
MIESZKO;205;M
EMIL;198;M
FELIKS;193;M
GRZEGORZ;190;M
ADRIAN;182;M
MAKSYM;176;M
TOBIASZ;176;M
KRYSTIAN;175;M
RYSZARD;170;M
SEBASTIAN;169;M
KONSTANTY;165;M
JERZY;155;M
ROBERT;153;M
FLORIAN;147;M
DAVID;140;M
DAMIAN;130;M
ŁUKASZ;128;M
ALEX;128;M
ARTEM;126;M
REMIGIUSZ;124;M
RAFAŁ;120;M
MARCIN;118;M
IWO;115;M
OLIVIER;114;M
BŁAŻEJ;111;M
LIAM;111;M
NATANIEL;109;M
KONRAD;106;M
MATVII;102;M
JEREMI;100;M
ALEKS;98;M
PRZEMYSŁAW;97;M
JULIUSZ;94;M
ALEXANDER;92;M
SAMUEL;91;M
LUCJAN;91;M
OLEKSANDR;88;M
MAREK;82;M
DORIAN;81;M
BENIAMIN;81;M
RADOSŁAW;79;M
MAURYCY;76;M
ANDRZEJ;75;M
ROMAN;72;M
ALBERT;71;M
GRACJAN;70;M
TYMOFII;70;M
WINCENTY;69;M
KORDIAN;67;M
JĘDRZEJ;65;M
SEWERYN;63;M
ARKADIUSZ;63;M
BOGDAN;62;M
JEREMIASZ;60;M
EDWARD;60;M
HUGO;60;M
ALEKSY;59;M
DAMIR;58;M
MAKAR;58;M
OLIVER;57;M
LUDWIK;56;M
MAKS;56;M
FRYDERYK;55;M
VLADYSLAV;55;M
WŁADYSŁAW;55;M
DANYLO;53;M
JACEK;52;M
BRAJAN;51;M
DENIS;50;M
TIMUR;47;M
DMYTRO;46;M
ERNEST;46;M
NAZAR;46;M
ARON;44;M
VINCENT;42;M
EMILIAN;41;M
MYKHAILO;40;M
MAX;38;M
WINCENT;37;M
BERNARD;36;M
BOHDAN;35;M
MAXIMILIAN;35;M
MIRON;34;M
NIKITA;34;M
IVAN;34;M
DARIUSZ;34;M
YAROSLAV;33;M
TEO;32;M
OLGIERD;32;M
MARKO;32;M
CYPRIAN;30;M
JOACHIM;30;M
OREST;30;M
DANIIL;30;M
SZCZEPAN;30;M
DAVYD;29;M
NIKOLAS;29;M
LEV;28;M
LEOPOLD;27;M
MARCELI;27;M
LUKA;27;M
ZBIGNIEW;27;M
LEONARDO;27;M
NORBERT;27;M
VIKTOR;27;M
EDMUND;27;M
TYTUS;26;M
BRUNON;26;M
OLIWER;26;M
BENJAMIN;26;M
ZAKHAR;25;M
MATVIY;25;M
LEW;25;M
AMADEUSZ;24;M
BOLESŁAW;24;M
ARSEN;24;M
DEMIAN;24;M
GNIEWKO;24;M
OLEK;23;M
ANDRII;23;M
MAKSIM;22;M
ILLIA;22;M
KOSMA;22;M
OSCAR;21;M
MIROSŁAW;21;M
MARIUSZ;21;M
MICHAEL;21;M
ZACHARY;21;M
JONASZ;20;M
KEVIN;20;M
ZIEMOWIT;20;M
KASPIAN;20;M
ANTONIO;20;M
SYLWESTER;19;M
NATHAN;19;M
VICTOR;19;M
JAROSŁAW;19;M
BENEDYKT;19;M
NOAH;19;M
MARTIN;19;M
BOGUMIŁ;19;M
JONATAN;18;M
NICOLAS;18;M
VOLODYMYR;18;M
KLEMENS;18;M
ELIASZ;18;M
KASJAN;17;M
OSTAP;17;M
FELICJAN;17;M
DANYIL;17;M
KORNELIUSZ;17;M
PLATON;17;M
THEO;16;M
FRANEK;16;M
AARON;16;M
LUCA;16;M
FELIX;16;M
OKTAWIAN;16;M
SVIATOSLAV;16;M
NOEL;16;M
HEKTOR;15;M
BOGUSŁAW;15;M
ROCH;15;M
DENYS;15;M
LESZEK;15;M
KIRILL;15;M
STANISLAV;14;M
SŁAWOMIR;14;M
CZESŁAW;14;M
THOMAS;14;M
NOE;14;M
BRONISŁAW;14;M
KAI;14;M
COLIN;13;M
GNIEWOMIR;13;M
AMIR;13;M
KSAWIER;13;M
KYRYLO;13;M
MAXYMILIAN;13;M
IVO;13;M
MIECZYSŁAW;13;M
WILLIAM;12;M
ELDAR;12;M
ALEK;12;M
ZACHAR;12;M
KRZESIMIR;12;M
ZACHARIASZ;11;M
YURII;11;M
SERGIUSZ;11;M
MYROSLAV;11;M
ZYGMUNT;11;M
EMANUEL;11;M
WIT;11;M
MYKOLA;11;M
MYRON;11;M
LUKAS;11;M
OLEKSII;11;M
AUGUST;10;M
MARIAN;10;M
DANIL;10;M
TYMOFIY;10;M
MATEO;10;M
EGOR;10;M
BASTIAN;10;M
MIKHAIL;10;M
LUIS;10;M
TYMUR;10;M
MATVEI;10;M
MARKUS;10;M
ANTHONY;9;M
MARSEL;9;M
ANTON;9;M
HENRY;9;M
STANISLAW;9;M
MILO;9;M
ALI;9;M
NIKO;9;M
HIERONIM;9;M
YEHOR;9;M
OLEG;9;M
ERIK;9;M
VLADISLAV;9;M
KILIAN;9;M
YAN;9;M
ARTHUR;8;M
IRENEUSZ;8;M
JACOB;8;M
AUGUSTYN;8;M
KAJ;8;M
LUCAS;8;M
MYKYTA;8;M
XAVIER;8;M
ALEKSANDR;8;M
GERARD;8;M
RAFAEL;8;M
KIRIL;8;M
LOUIS;8;M
AMBROŻY;8;M
TEOFIL;8;M
NATHANIEL;8;M
GNIEWOSZ;8;M
ENZO;8;M
WALDEMAR;7;M
EDWIN;7;M
TIMOFEI;7;M
SANTIAGO;7;M
MAXIM;7;M
THEODOR;7;M
KONSTANTYN;7;M
STEPAN;7;M
JAROSLAV;7;M
RUBEN;7;M
ROSTYSLAV;7;M
NICO;7;M
THEODORE;7;M
AURELIUSZ;7;M
KONSTANTIN;7;M
ANTEK;7;M
PAVLO;7;M
PAVEL;7;M
EMIR;7;M
ARIEL;7;M
LUKIAN;7;M
EDGAR;7;M
MATWIEJ;7;M
LECH;7;M
PHILIP;7;M
ETHAN;6;M
DOBROMIR;6;M
MAGNUS;6;M
KARIM;6;M
ANTONY;6;M
ERWIN;6;M
TYMOFIJ;6;M
GLEB;6;M
EVAN;6;M
TIMOFEY;6;M
RUSLAN;6;M
SERHII;6;M
KRISTIAN;6;M
ILYA;6;M
YEVHEN;6;M
BRAYAN;6;M
ALEXANDRE;5;M
ROBIN;5;M
TYCJAN;5;M
VADIM;5;M
MAKARY;5;M
YAKIV;5;M
JEGOR;5;M
FRANK;5;M
RAGNAR;5;M
ROMEO;5;M
MIROSLAV;5;M
TOBIAS;5;M
THIAGO;5;M
MIKITA;5;M
ARIAN;5;M
LORENZO;5;M
MIRAN;5;M
MARKIYAN;5;M
MATWIJ;5;M
OMAR;5;M
RYAN;5;M
MATVIJ;5;M
GUSTAV;5;M
KOSTIANTYN;5;M
DEMYAN;5;M
ELIAS;5;M
ZAHAR;5;M
ARSENIJ;5;M
LIONEL;5;M
OLEKSANDER;5;M
IHOR;5;M
VADYM;4;M
EUGENIUSZ;4;M
TIMOFIEJ;4;M
VALENTIN;4;M
RAYAN;4;M
MALIK;4;M
NATANAEL;4;M
GIORGI;4;M
LIUBOMYR;4;M
ANATOL;4;M
HARRY;4;M
DANILO;4;M
TARAS;4;M
CAN;4;M
JOEL;4;M
ARTEMIUSZ;4;M
PATRICK;4;M
ELLIOT;4;M
MATVEY;4;M
BARTEK;4;M
GERMAN;4;M
LEONID;4;M
PETER;4;M
IVAR;4;M
IWAN;4;M
BAZYLI;4;M
KLAUDIUSZ;4;M
NICHOLAS;4;M
NIL;4;M
IDRIS;4;M
JAMES;4;M
PASCAL;4;M
RADOMIR;4;M
MARKIIAN;4;M
MICHAL;4;M
HORDII;4;M
DYLAN;4;M
PAUL;4;M
DIEGO;4;M
KEWIN;4;M
SVYATOSLAV;4;M
VSEVOLOD;4;M
JAKOB;4;M
IBRAHIM;4;M
ELIJAH;4;M
HORACY;4;M
KALEB;4;M
ALEKSANDRE;4;M
MANUEL;4;M
YAREMA;4;M
JOZEF;4;M
HAMZA;4;M
USTYM;4;M
MARCUS;4;M
NOLAN;4;M
WOJTEK;4;M
RAJMUND;4;M
GILBERT;4;M
HERBERT;4;M
OLEH;4;M
CHRISTIAN;4;M
DANYYIL;4;M
MUHAMMAD;4;M
FRANCIS;3;M
ASLAN;3;M
KASPER;3;M
YEGOR;3;M
MIKOLAJ;3;M
LUCJUSZ;3;M
ELIOT;3;M
JASON;3;M
TIAGO;3;M
ANDREI;3;M
SIMON;3;M
TADEI;3;M
JONATHAN;3;M
SAMIR;3;M
ROMUALD;3;M
VITOLD;3;M
JAREMA;3;M
MICHAIL;3;M
ELIAN;3;M
ARCHIBALD;3;M
DANTE;3;M
IAN;3;M
TYBERIUSZ;3;M
MIGUEL;3;M
KHALID;3;M
DOMINIC;3;M
DEMIR;3;M
FRANCESCO;3;M
DMITRIJ;3;M
KAAN;3;M
VASYL;3;M
HEORHII;3;M
LUBOMIR;3;M
NAZARII;3;M
ANTOINE;3;M
MARAT;3;M
NEO;3;M
TRISTAN;3;M
MOHAMMAD;3;M
RICHARD;3;M
AXEL;3;M
WINICJUSZ;3;M
MAKARII;3;M
LÉO;3;M
FRANCO;3;M
JEREMY;3;M
DAVIT;3;M
AURELIAN;3;M
ANDRIJ;3;M
ROLAND;3;M
ARAM;3;M
SAMI;3;M
JANUSZ;3;M
ANDRIAN;3;M
YEVHENII;3;M
JOSÉ;3;M
ARNOLD;3;M
YUSUF;3;M
BONIFACY;3;M
MYCHAJŁO;3;M
ARSENII;3;M
ILLYA;3;M
VITALII;3;M
WŁODZIMIERZ;3;M
ITAN;3;M
PETRO;3;M
ADAR;3;M
ILIAN;3;M
XAWERY;3;M
LARS;3;M
DANIIŁ;2;M
LÉON;2;M
YAQUB;2;M
ISMAEL;2;M
EMMANUIL;2;M
LEWKO;2;M
OLES;2;M
RAMAN;2;M
ABRAM;2;M
ALESSANDRO;2;M
LAURENT;2;M
JOSEF;2;M
JAROSLAW;2;M
MILOSZ;2;M
MYCHAILO;2;M
ALESSIO;2;M
ILAN;2;M
ZDZISŁAW;2;M
ALEXANDROS;2;M
DEMYD;2;M
TIMOFII;2;M
LOGAN;2;M
CHARLIE;2;M
NIKOLAI;2;M
SWIATOSŁAW;2;M
SEMYON;2;M
ANATOLII;2;M
FREDERICK;2;M
NOA;2;M
ISA;2;M
OCTAVIO;2;M
ROSTISLAV;2;M
TYMEK;2;M
SANTINO;2;M
HERMAN;2;M
PAWEL;2;M
SALWIN;2;M
RAKAN;2;M
SYRIUSZ;2;M
TEMUR;2;M
EVGENII;2;M
ILIA;2;M
GURBAAZ;2;M
SAMAR;2;M
NESTOR;2;M
SEVERYN;2;M
RINAT;2;M
LEWI;2;M
SANI;2;M
MARKOS;2;M
HENRIK;2;M
IGO;2;M
CONSTANTINE;2;M
FINN;2;M
MARCJAN;2;M
ABDULLAH;2;M
RADMIR;2;M
APOLONIUSZ;2;M
DENIZ;2;M
FERNANDO;2;M
MACIEK;2;M
CHRISTOPHER;2;M
NICOLAI;2;M
MURAT;2;M
CONAN;2;M
MAKARIY;2;M
MOISE;2;M
MARIO;2;M
ARCHIE;2;M
OTTO;2;M
MYLES;2;M
TIMOTHY;2;M
DAMYR;2;M
DAMINIK;2;M
VALENTINO;2;M
VENIAMIN;2;M
MEHMET;2;M
AUSTIN;2;M
YUSIF;2;M
MYKHAIL;2;M
ALBIN;2;M
GABRIELE;2;M
AKSEL;2;M
OKTAVIAN;2;M
FELIPE;2;M
ISMAIL;2;M
ARMIN;2;M
WALENTINO;2;M
ALLAN;2;M
MYKOLAI;2;M
HUGON;2;M
DAJAN;2;M
MARCO;2;M
RADEK;2;M
DARII;2;M
CARLOS;2;M
LEONEL;2;M
YAROSLAW;2;M
AMIN;2;M
MICHEASZ;2;M
GEORGE;2;M
BRYAN;2;M
PABLO;2;M
MATEI;2;M
NIKOS;2;M
KEREM;2;M
VIGGO;2;M
JULIUS;2;M
ORLANDO;2;M
TEODORO;2;M
DAMAZY;2;M
BJORN;2;M
WIESŁAW;2;M
FEDERICO;2;M
FLAVIO;2;M
SOLOMON;2;M
YEFREM;2;M
MIKE;2;M
ANDREY;2;M
MATTEO;2;M
MIKAEL;2;M
LUDWIG;2;M
GERALD;2;M
ZENON;2;M
WLADYSLAW;2;M
AVRAM;2;M
FRANCISCO;2;M
LUKYAN;2;M
LEVI;2;M
JAROMIR;2;M
ALFRED;2;M
WITO;2;M
ARMANDO;2;M
ANGEL;2;M
SAMBOR;2;M
DANIŁO;2;M
HILARY;2;M
DEMETRE;2;M
GEORGII;2;M
CHRISTOPHE;2;M
ANDRIY;2;M
YELYSEI;2;M
YANIS;2;M
SERAFIN;2;M
SAMUIL;2;M
ALIAKSEI;2;M
HLEB;2;M
ANTONIJ;2;M
ZOFIA;2626;K
ZUZANNA;2489;K
LAURA;2450;K
HANNA;2389;K
MAJA;2255;K
JULIA;2138;K
OLIWIA;1983;K
POLA;1844;K
ALICJA;1798;K
MARIA;1586;K
ANTONINA;1554;K
LENA;1517;K
EMILIA;1414;K
AMELIA;1367;K
MICHALINA;1304;K
KLARA;1297;K
WIKTORIA;1296;K
HELENA;1295;K
LILIANA;1267;K
IGA;1259;K
MARCELINA;1187;K
ALEKSANDRA;980;K
GABRIELA;956;K
KORNELIA;911;K
BLANKA;865;K
ŁUCJA;855;K
NELA;832;K
NADIA;805;K
ANNA;792;K
NATALIA;745;K
LILIANNA;740;K
JAGODA;679;K
MIA;595;K
MILENA;576;K
KAJA;561;K
RÓŻA;560;K
ROZALIA;550;K
ANASTAZJA;540;K
NINA;540;K
ANIELA;498;K
NIKOLA;486;K
WERONIKA;480;K
SARA;461;K
BARBARA;447;K
AURELIA;426;K
MATYLDA;418;K
LIWIA;403;K
KAROLINA;389;K
MARTYNA;379;K
AGATA;333;K
ELIZA;332;K
ADRIANNA;302;K
GAJA;289;K
WANDA;281;K
MAGDALENA;280;K
KINGA;274;K
MARIANNA;273;K
JAŚMINA;263;K
MELANIA;254;K
BIANKA;236;K
KALINA;216;K
ZOJA;212;K
DIANA;212;K
MAŁGORZATA;211;K
IZABELA;210;K
MARTA;201;K
URSZULA;199;K
JOANNA;199;K
DOMINIKA;194;K
APOLONIA;193;K
EWA;184;K
SOFIA;183;K
LIDIA;182;K
KATARZYNA;177;K
PAULINA;171;K
MALWINA;169;K
MILANA;162;K
IDA;156;K
NEL;153;K
EMMA;146;K
STEFANIA;143;K
LILIA;142;K
DARIA;142;K
KLAUDIA;140;K
LUIZA;136;K
OLIVIA;136;K
RITA;134;K
LEA;132;K
SOFIIA;132;K
KAMILA;130;K
ELENA;122;K
LARA;119;K
PATRYCJA;117;K
JAGNA;114;K
DOROTA;110;K
FELICJA;110;K
ADA;103;K
JADWIGA;102;K
CELINA;100;K
LILA;98;K
ADELINA;91;K
OLGA;86;K
ZLATA;86;K
JANINA;86;K
ALINA;81;K
NOEMI;79;K
MILA;76;K
ALISA;75;K
ADELA;72;K
KIRA;72;K
EVA;71;K
JUSTYNA;68;K
EWELINA;68;K
SANDRA;67;K
ELŻBIETA;66;K
AGNIESZKA;64;K
FRANCISZKA;64;K
MONIKA;62;K
MARIKA;61;K
POLINA;59;K
TOLA;59;K
VICTORIA;59;K
ESTERA;59;K
AURORA;55;K
TERESA;55;K
EMILIIA;55;K
YEVA;55;K
MAYA;54;K
VIKTORIIA;51;K
INGA;51;K
VANESSA;49;K
VERONIKA;48;K
KRYSTYNA;46;K
GLORIA;46;K
NIKOL;45;K
LUNA;44;K
LIVIA;44;K
KARINA;44;K
DAGMARA;44;K
MARLENA;43;K
ARINA;42;K
LUCYNA;42;K
ROKSANA;41;K
FAUSTYNA;41;K
VIKTORIA;39;K
JULIANNA;38;K
MARIIA;37;K
KONSTANCJA;37;K
JOWITA;36;K
MELISA;36;K
SOLOMIIA;36;K
FLORENTYNA;36;K
OLIVIIA;35;K
EVELINA;35;K
SONIA;35;K
IZABELLA;33;K
INEZ;33;K
CARMEN;33;K
JULITA;32;K
JUDYTA;32;K
ANITA;32;K
MIRA;32;K
PAULA;31;K
INES;31;K
OTYLIA;31;K
OLEKSANDRA;31;K
ARIANA;31;K
ANASTASIIA;31;K
KLEMENTYNA;31;K
STELLA;30;K
SYLWIA;30;K
ZOE;29;K
LILI;28;K
JÓZEFINA;28;K
DALIA;28;K
MIIA;28;K
LETYCJA;28;K
LILY;27;K
INKA;27;K
SOLOMIA;27;K
MALINA;27;K
ANASTASIA;26;K
NICOLE;26;K
IRENA;26;K
SOPHIE;25;K
SABINA;25;K
MIRIAM;24;K
HALINA;23;K
VARVARA;22;K
NASTIA;22;K
MYROSLAVA;21;K
LILLY;20;K
ADRIANA;20;K
ANTONIA;20;K
AMINA;20;K
CECYLIA;20;K
NAOMI;20;K
DANUTA;20;K
NELIA;19;K
NIKA;19;K
ANGELINA;19;K
NATASZA;19;K
OLA;19;K
OKTAWIA;19;K
SOFIJA;18;K
LIA;18;K
VALERIA;18;K
MICHELLE;18;K
JANA;18;K
SOPHIA;18;K
NICOLA;18;K
DOBRAWA;17;K
ANETA;17;K
KATERYNA;17;K
MARIETTA;17;K
LEONIA;17;K
HIACYNTA;17;K
LARYSA;17;K
LILLA;17;K
VALERIIA;16;K
AMANDA;16;K
MARCELA;16;K
MELISSA;16;K
EMILY;16;K
ULIANA;15;K
WALERIA;15;K
SELENA;15;K
EDYTA;15;K
FLORA;15;K
DARYNA;15;K
ARIA;15;K
GAIA;14;K
ELEONORA;14;K
IDALIA;14;K
JOLANTA;13;K
EMILI;13;K
LEILA;13;K
ARIANNA;13;K
ELIANA;13;K
LAILA;13;K
YELYZAVETA;13;K
HANNAH;13;K
ROMA;13;K
MARCJANNA;13;K
KSENIA;13;K
CHARLOTTE;12;K
JASMINA;12;K
VLADYSLAVA;12;K
ZOYA;12;K
IRMINA;12;K
MELANIIA;12;K
YANA;12;K
MAGDA;12;K
ALEXANDRA;12;K
BEATA;11;K
ELIZABETH;11;K
MIRELLA;11;K
MIJA;11;K
AMELIIA;11;K
HONORATA;11;K
BIANCA;11;K
MARINA;11;K
ALICIA;10;K
LAYLA;10;K
SOLOMIYA;10;K
BOŻENA;10;K
VERONICA;10;K
TAMARA;10;K
ANA;10;K
INA;10;K
ILONA;10;K
MIYA;10;K
NADZIEJA;10;K
MIROSŁAWA;10;K
WIOLETTA;10;K
BELLA;10;K
VIOLETTA;10;K
ISABELLA;10;K
OFELIA;10;K
ELINA;9;K
ANHELINA;9;K
VALENTINA;9;K
JESSICA;9;K
MIROSLAVA;9;K
SOLOMIJA;9;K
ABIGAIL;9;K
MARGARITA;9;K
DANIELA;9;K
WANESSA;9;K
ESTER;9;K
ANIKA;9;K
GRETA;9;K
DOBROMIŁA;8;K
LEYLA;8;K
OLIMPIA;8;K
KHRYSTYNA;8;K
CATALEYA;8;K
TINA;8;K
SAMANTA;8;K
ELIZABET;8;K
TATIANA;8;K
OKSANA;8;K
LISA;8;K
SOFIYA;8;K
AYLA;7;K
BOGNA;7;K
CLARA;7;K
LUKRECJA;7;K
NELLA;7;K
TULIA;7;K
ALENA;7;K
MATILDA;7;K
ALISIIA;7;K
ROSALIE;7;K
VIVIEN;7;K
LEOKADIA;7;K
MIŁOSŁAWA;7;K
HALSZKA;7;K
LINDA;7;K
NELLY;7;K
PAMELA;7;K
ALICE;7;K
ELISA;7;K
ORIANA;6;K
LEAH;6;K
ZOSIA;6;K
MALIKA;6;K
ANGELIKA;6;K
ADEL;6;K
MAIA;6;K
YULIIA;6;K
HANA;6;K
DARINA;6;K
ELLA;6;K
DARIIA;6;K
AISHA;6;K
YARYNA;6;K
ARIADNA;6;K
AMIRA;6;K
STEFANIIA;6;K
LUCY;6;K
CHIARA;6;K
AFINA;6;K
VERA;6;K
ELIZAVETA;5;K
ZORIANA;5;K
BOGUMIŁA;5;K
ADELE;5;K
SABRINA;5;K
MARIANA;5;K
LUCIA;5;K
NELL;5;K
BOHDANA;5;K
LIANA;5;K
YAROSLAVA;5;K
KAMELIA;5;K
KSENIIA;5;K
NAWOJA;5;K
STANISŁAWA;5;K
LUDMIŁA;5;K
SOFIE;5;K
PIA;5;K
ADELIA;5;K
BOGDANA;5;K
MARIYA;5;K
SARAH;5;K
ARLETA;5;K
YASMIN;5;K
GABRIELLA;5;K
LIJA;5;K
ELIF;5;K
ANDŻELIKA;5;K
AVRORA;5;K
MIKA;5;K
MARIAM;5;K
YASMINA;5;K
AMALIA;5;K
JULIANA;5;K
MANUELA;5;K
ROSE;5;K
NOELIA;5;K
FRANCESCA;5;K
RENATA;5;K
GRACJA;5;K
DANA;5;K
IZA;5;K
IWONA;4;K
IVY;4;K
OLENA;4;K
ILARIA;4;K
NILA;4;K
OLESIA;4;K
SŁAWA;4;K
REGINA;4;K
IRIS;4;K
SAMIRA;4;K
CORNELIA;4;K
VLADISLAVA;4;K
KASANDRA;4;K
MELA;4;K
LEIA;4;K
IVANNA;4;K
ELWIRA;4;K
KAYA;4;K
MAJKA;4;K
ULYANA;4;K
LIYA;4;K
AMELI;4;K
MARTINA;4;K
ROSALIA;4;K
EUGENIA;4;K
FLORENCJA;4;K
CARLA;4;K
DANIELLA;4;K
KARLA;4;K
CIRILLA;4;K
OLHA;4;K
HANIA;4;K
DOBROCHNA;4;K
ANAYA;4;K
TOSIA;4;K
LANA;4;K
RACHELA;4;K
MARIOLA;4;K
ADELAJDA;4;K
AMAIA;4;K
MARZENA;4;K
MARYLA;4;K
KAIA;4;K
MISHEL;4;K
MARHARYTA;4;K
FELICIA;4;K
NICOL;4;K
IVANKA;3;K
DAYANA;3;K
MELANIE;3;K
MIROSLAWA;3;K
CECILIA;3;K
VIVIENNE;3;K
CYNTIA;3;K
ANDREA;3;K
FREYA;3;K
KIARA;3;K
DEBORA;3;K
MAIIA;3;K
VITALINA;3;K
SALMA;3;K
MELANI;3;K
ASTRID;3;K
MARYAM;3;K
DILARA;3;K
ROSA;3;K
CHLOE;3;K
NATALIE;3;K
FATIMA;3;K
EVGENIA;3;K
NATALIIA;3;K
VASYLYNA;3;K
BLANCA;3;K
ZUZA;3;K
KRISTINA;3;K
AGATHA;3;K
JASMINE;3;K
ANATOLA;3;K
MARIE;3;K
ELA;3;K
ELISABETTA;3;K
NAYA;3;K
KORA;3;K
JASMIN;3;K
NATASHA;3;K
VASILISA;3;K
TAIA;3;K
NALA;3;K
LEYA;3;K
AMY;3;K
SAFIA;3;K
ALMA;3;K
ZLATOSLAVA;3;K
ELVIRA;3;K
ZOEY;3;K
MARYSIA;3;K
KATIA;3;K
PHOEBE;3;K
INESA;3;K
REBECA;3;K
KATALEJA;3;K
POLIANA;3;K
DOBROSŁAWA;3;K
HELEN;3;K
ESTHER;3;K
WALENTYNA;3;K
YULIA;3;K
ISABELLE;3;K
LORENA;3;K
LIKA;3;K
TEODOZJA;3;K
ATHINA;3;K
ROKSOLANA;3;K
MARITA;3;K
AURA;3;K
MICHAELA;3;K
ALISIA;3;K
FLAWIA;3;K
SAWA;3;K
KARMEN;3;K
REBEKA;3;K
VIRA;3;K
JARYNA;3;K
DAJANA;3;K
AYA;3;K
LEONA;3;K
AZALIA;3;K
CELESTYNA;3;K
ZARA;3;K
SOFÍA;3;K
LETTY;3;K
NADIIA;3;K
BRYGIDA;2;K
ANASTASIYA;2;K
ZLATOSLAWA;2;K
ZELIA;2;K
NASTAZJA;2;K
ANNIKA;2;K
KAYLA;2;K
NELI;2;K
YESENIIA;2;K
MIRELA;2;K
LARISA;2;K
CHLOÉ;2;K
ARIIANA;2;K
ELMIRA;2;K
FLORENCE;2;K
YEVHENIIA;2;K
ULA;2;K
TETIANA;2;K
FAY;2;K
RUT;2;K
VALERIYA;2;K
SOFI;2;K
RAISA;2;K
NAVYA;2;K
LILE;2;K
STEPHANIE;2;K
ISLA;2;K
ALIYA;2;K
ANA-MARIA;2;K
KAILA;2;K
FILOMENA;2;K
INESS;2;K
EMANUELA;2;K
NARINA;2;K
AMAL;2;K
AGNES;2;K
ANATOLIA;2;K
ALIA;2;K
FREJA;2;K
SIMONA;2;K
KATRINA;2;K
TONYA;2;K
ANDRIANA;2;K
YULIYA;2;K
YESENIA;2;K
ZEYNEP;2;K
MISZELA;2;K
JÓZEFA;2;K
EVELYN;2;K
RUSLANA;2;K
ILARIIA;2;K
MARIJA;2;K
AYSEL;2;K
LIIA;2;K
WASILISA;2;K
JANKA;2;K
ERYKA;2;K
GRACE;2;K
SAADA;2;K
YUNA;2;K
MASHA;2;K
ISABEL;2;K
ELLIE;2;K
DAMIRA;2;K
NANA;2;K
TAMILA;2;K
KAMA;2;K
MIRABELA;2;K
SUZANA;2;K
EVANGELINE;2;K
BALBINA;2;K
OCTAVIA;2;K
MILANIA;2;K
NOA;2;K
RIMMA;2;K
BOZHENA;2;K
ALYSSA;2;K
VIENNA;2;K
LUDWIKA;2;K
NEIA;2;K
MIKAELA;2;K
AYLIN;2;K
MELANIJA;2;K
MALENA;2;K
AIDA;2;K
ARMINA;2;K
WŁADYSŁAWA;2;K
AUGUSTYNA;2;K
DAGNA;2;K
ALESSIA;2;K
LUBA;2;K
MIŁKA;2;K
SAMARA;2;K
LIZA;2;K
SONYA;2;K
NIKITA;2;K
IRENE;2;K
MINH ANH;2;K
IGNACJA;2;K
ARYNA;2;K
GIULIA;2;K
MONICA;2;K
KASSANDRA;2;K
VIVIANA;2;K
LOTTA;2;K
NELLI;2;K
ESMERALDA;2;K
EWANGELINA;2;K
MIRASLAVA;2;K
ANNABELLA;2;K
EDEN;2;K
ELENI;2;K
NOELLE;2;K
AISZA;2;K
JAROSŁAWA;2;K
ANIA;2;K
WANESA;2;K
EMA;2;K
LOLA;2;K
ZENDAYA;2;K
EMILLY;2;K
SELINA;2;K
IRYNA;2;K
FRIDA;2;K
CLAUDIA;2;K
SERAFINA;2;K
ŻANETA;2;K
KATERINA;2;K
ALIAKSANDRA;2;K
YELIZAVETA;2;K
ARIELA;2;K
ARLETTA;2;K
MISZEL;2;K
NADINE;2;K
AMELIE;2;K
WARWARA;2;K
KORDELIA;2;K
YUSTYNA;2;K
ARYA;2;K
